Brand;Title;Kilometer;Gas Type;Gear Box;Year;Price
Alfa Romeo;Alfa Romeo Stelvio 2.9 T Quadrifoglio AT8 Q4;4 000;Gasolina;Automática;2021;98 999
Alfa Romeo;Alfa Romeo MiTo 0.9 T TwinAir Urban;66 080;Gasolina;Manual;2018;10 990
Alfa Romeo;Alfa Romeo MiTo 1.3 JTDM Super;69 000;Diesel;Manual;2018;11 980
Alfa Romeo;Alfa Romeo Giulia 2.2 D Veloce AT8 AWD;131 000;Diesel;Automática;2018;34 500
Alfa Romeo;Alfa Romeo MiTo 0.9 T TwinAir;42 000;Gasolina;Manual;2018;12 750
Alfa Romeo;Alfa Romeo MiTo 1.4 T MultiAir Quadrifloglio Verde;183 000;Gasolina;Manual;2010;11 490
Alfa Romeo;Alfa Romeo Stelvio 2.0 T First Edition AT8 Q4;113 000;Gasolina;Automática;2017;27 450
Alfa Romeo;Alfa Romeo 2000;136 200;Gasolina;Manual;1974;17 500
Alfa Romeo;Alfa Romeo Giulietta 1.6 JTDm Progression;135 222;Diesel;Manual;2012;10 990
Alfa Romeo;Alfa Romeo MiTo 1.3 JTD Distinctive 5KQ;91 000;Diesel;Manual;2014;9 500
Alfa Romeo;Alfa Romeo Stelvio 2.2 D Super AT8;126 022;Diesel;Automática;2017;26 499
Alfa Romeo;Alfa Romeo Giulietta 1.6 JTDm Super;55 573;Diesel;Manual;2018;19 490
Alfa Romeo;Alfa Romeo Giulietta 1.6 JTDm Progression;191 190;Diesel;Manual;2010;8 900
Alfa Romeo;Alfa Romeo Giulietta 1.6 JTDm Sport J18 TCT;65 450;Diesel;Automática;2021;22 990
Alfa Romeo;Alfa Romeo 33 1.3 Red ;158 776;Gasolina;Manual;1989;7 500
Alfa Romeo;Alfa Romeo Giulietta 1.6 JTDm Distinctive;150 000;Diesel;Manual;2012;9 000
Alfa Romeo;Alfa Romeo Brera 2.2 JTS 16V Italia Independent;87 950;Gasolina;Manual;2009;16 000
Alfa Romeo;Alfa Romeo 33 1.5;91 000;Gasolina;Manual;1990;3 500
Alfa Romeo;Alfa Romeo Giulietta 1.6 JTDm TCT;99 579;Diesel;Automática;2019;17 990
Alfa Romeo;Alfa Romeo Giulietta 1750 TBi Quadrifoglio Verde;194 550;Gasolina;Manual;2011;14 650
Alfa Romeo;Alfa Romeo Stelvio 2.2 D Sprint Q4 AT8;9 500;Diesel;Automática;2022;56 900
Alfa Romeo;Alfa Romeo Stelvio 2.2 D Super AT8;126 374;Diesel;Automática;2017;25 499
Alfa Romeo;Alfa Romeo Giulia 2.2 D Super;78 857;Diesel;Manual;2018;24 950
Alfa Romeo;Alfa Romeo Giulietta 1.6 JTDm Sport J18 TCT;131 862;Diesel;Automática;2020;16 990
Alfa Romeo;Alfa Romeo GT;297 819;Diesel;Manual;2006;8 500
Alfa Romeo;Alfa Romeo Giulietta 1.6 JTDm Progression;119 986;Diesel;Manual;2013;13 950
Alfa Romeo;Alfa Romeo Giulietta 1.6 JTDm B-Tech TCT;52 500;Diesel;Automática;2016;17 000
Alfa Romeo;Alfa Romeo Spider 1.6;39 000;Gasolina;Manual;1988;26 000
Alfa Romeo;Alfa Romeo MiTo 1.3 JTDM ECO;194 675;Diesel;Manual;2012;7 800
Alfa Romeo;Alfa Romeo Giulia 2.2 D AT8;71 583;Diesel;Automática;2017;22 900
Alfa Romeo;Alfa Romeo MiTo 1.3 JTD Distinctive;162 000;Diesel;Manual;2013;6 999
Alfa Romeo;Alfa Romeo Tonale 1.6 VGT-D Super;18 833;Diesel;Automática;2023;32 900
Alfa Romeo;Alfa Romeo MiTo;133 600;Diesel;Manual;2018;12 900
Alfa Romeo;Alfa Romeo Giulietta 1.6 JTDm Distinctive 57X;114 784;Diesel;Manual;2017;16 500
Alfa Romeo;Alfa Romeo 156 1.6 TS Sport TA;232 323;GPL;Manual;2001;2 990
Alfa Romeo;Alfa Romeo Giulietta 1.6 JTDm Exclusive;139 691;Diesel;Manual;2014;10 990
Alfa Romeo;Alfa Romeo Giulia 2.9 Bi-Turbo Quadrifoglio AT8;799;Gasolina;Automática;2024;148 131
Alfa Romeo;Alfa Romeo MiTo 1.3 JTD Distinctive;196 780;Diesel;Manual;2011;7 280
Alfa Romeo;Alfa Romeo Spider 1.6;68 400;Gasolina;Manual;1990;23 000
Alfa Romeo;Alfa Romeo Giulietta 1.6 JTDm Trofeo;264 300;Diesel;Manual;2014;12 490
Alfa Romeo;Alfa Romeo Stelvio 2.2 D Super AT8;114 000;Diesel;Automática;2018;28 490
Alfa Romeo;Alfa Romeo Stelvio 2.2 D Super AT8;88 000;Diesel;Automática;2018;28 900
Alfa Romeo;Alfa Romeo Stelvio 2.2 D Super AT8;123 000;Diesel;Automática;2018;25 950
Alfa Romeo;Alfa Romeo Giulia 2.2 D Super AT8;306 300;Diesel;Automática;2019;17 500
Alfa Romeo;Alfa Romeo Giulia 2.2 D Veloce Q4 AT8;71 000;Diesel;Automática;2019;37 500
Alfa Romeo;Alfa Romeo Tonale 1.3 Plug-In Hybrid Sprint e-AWD;20;Híbrido Plug-In;Automática;2024;58 069
Alfa Romeo;Alfa Romeo Giulia 2.2 D TI Q4 AT8;20;Diesel;Automática;2024;67 336
Alfa Romeo;Alfa Romeo Giulietta 1.6 JTDm Distinctive 57X;138 879;Diesel;Manual;2013;11 299
Alfa Romeo;Alfa Romeo MiTo 0.9 T TwinAir;44 387;Gasolina;Manual;2018;11 900
Alfa Romeo;Alfa Romeo Giulia 2.2 D Super AT8;300;Diesel;Automática;2022;44 900
Alfa Romeo;Alfa Romeo MiTo 1.6 JTD Distinctive;169 000;Diesel;Manual;2008;6 600
Alfa Romeo;Alfa Romeo MiTo 1.6 JTD Distinctive S&S;95 000;Diesel;Manual;2010;11 850
Alfa Romeo;Alfa Romeo 159 Sportwagon 1.9 JTDm 16V Sportiva;123 695;Diesel;Manual;2008;7 999
